"tablescraper-selected-row href","secondary src","sub-info"
"https://www.hempsteadvalley.com/amazon-lockers","https://www.hempsteadvalley.com/assets/images/store-logos/amazon-lockers.png","Tel:"
"https://www.hempsteadvalley.com/apricot","https://www.hempsteadvalley.com/assets/images/store-logos/apricot-logo.png","Tel: 01634 233220"
"https://www.hempsteadvalley.com/argos","https://www.hempsteadvalley.com/assets/images/Store%20Logo/argos-logo.png","Tel: 0345 013 2354"
"https://www.hempsteadvalley.com/nail-spa-and-beauty","https://www.hempsteadvalley.com/assets/images/Store%20Logo/2023/July/body_glow_logo.png","Tel:"
"https://www.hempsteadvalley.com/boots","https://www.hempsteadvalley.com/assets/images/Store%20Logo/boots.png","Tel: 01634 388175"
"https://www.hempsteadvalley.com/boots-hearingcare","https://www.hempsteadvalley.com/assets/images/Store%20Logo/2024/Apr/HV_Boots_Hearingcare.png","Tel: 0345 270 1600"
"https://www.hempsteadvalley.com/british-heart-foundation","https://www.hempsteadvalley.com/assets/images/Store%20Logo/logo%20british.png","Tel: 01634 363528"
"https://www.hempsteadvalley.com/card-factory","https://www.hempsteadvalley.com/assets/images/store-logos/cardfactorylogo.png","Tel: 01634 231561"
"https://www.hempsteadvalley.com/claybrooks","https://www.hempsteadvalley.com/assets/images/Store%20Logo/claybrooks.png","Tel: 01634 263710"
"https://www.hempsteadvalley.com/clintons","https://www.hempsteadvalley.com/assets/images/Store%20Logo/clintons.png","Tel: 01634 238576"
"https://www.hempsteadvalley.com/demelza","https://www.hempsteadvalley.com/assets/images/store-logos/Demelza_new_2023.png","Tel:"
"https://www.hempsteadvalley.com/ee","https://www.hempsteadvalley.com/assets/images/Store%20Logo/ee.png","Tel: 0844 248 2565"
"https://www.hempsteadvalley.com/ernest-jones","https://www.hempsteadvalley.com/assets/images/Store%20Logo/ernestjones.png","Tel: 01634 361584"
"https://www.hempsteadvalley.com/h-samuel","https://www.hempsteadvalley.com/assets/images/Store%20Logo/h-samuel_logo_smaller.png","Tel: 01634 232903"
"https://www.hempsteadvalley.com/hays-travel","https://www.hempsteadvalley.com/assets/images/Store%20Logo/HaysTravel.png","Tel: 01634 914113"
"https://www.hempsteadvalley.com/hempstead-therapy-centre","https://www.hempsteadvalley.com/assets/imagesGallery/store-logos/HempsteadTherapyCentre.png","Tel: 01634 393113"
"https://www.hempsteadvalley.com/holland-and-barrett","https://www.hempsteadvalley.com/assets/images/Store%20Logo/hollandandbarret.png","Tel: 01634 264759"
"https://www.hempsteadvalley.com/home-bargains","https://www.hempsteadvalley.com/assets/images/Store%20Logo/2023/June/HV-HB.png","Tel:"
"https://www.hempsteadvalley.com/jd-sports","https://www.hempsteadvalley.com/assets/images/Store%20Logo/JDLogo.png","Tel: 01634 471875"
"https://www.hempsteadvalley.com/kent-reliance","https://www.hempsteadvalley.com/assets/images/store-logos/kentreliance.png","Tel: 0345 122 1122"
