centreName,centreType,address,city,county,postcode,website,phone,latitude,longitude,lastVerifiedDate,dataQualityNote,storeName,categoryRaw,subcategoryRaw,unitNumber,floor,isAnchorTenant,normalizedCategoryId,sourceUrls
Maskew Avenue Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2AS,,,52.5906,-0.2477,2025-09-29,Known as 'Maskew Avenue Retail Park' – contains national retailers in bulky goods and value categories.,Currys,Electronics,Electricals & Appliances,Unit 1,,True,ELECTRONICS_APPLIANCES,https://www.currys.co.uk/store-finder/peterborough/maskew-avenue
Maskew Avenue Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2AS,,,52.5906,-0.2477,2025-09-29,Known as 'Maskew Avenue Retail Park' – contains national retailers in bulky goods and value categories.,Halfords,Automotive,Auto & Cycling,Unit 2,,False,AUTO_CYCLING,https://www.halfords.com/locations/peterborough-maskew-avenue-store/
Maskew Avenue Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2AS,,,52.5906,-0.2477,2025-09-29,Known as 'Maskew Avenue Retail Park' – contains national retailers in bulky goods and value categories.,The Range,Value Variety,"Home, Garden & Leisure",Unit 3,,False,VARIETY_VALUE,https://www.therange.co.uk/stores/peterborough/
Maskew Avenue Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2AS,,,52.5906,-0.2477,2025-09-29,Known as 'Maskew Avenue Retail Park' – contains national retailers in bulky goods and value categories.,Carpetright,Home Furnishings,Flooring,Unit 4,,False,HOME_FURNISHINGS,https://www.carpetright.co.uk/store/peterborough-maskew-avenue
Maskew Avenue Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2AS,,,52.5906,-0.2477,2025-09-29,Known as 'Maskew Avenue Retail Park' – contains national retailers in bulky goods and value categories.,B&M Home Store,Discount Retail,Home & Garden,Unit 5,,False,DISCOUNT_STORE,https://www.bmstores.co.uk/stores/peterborough-maskew-avenue-342
Maskew Avenue Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2AS,,,52.5906,-0.2477,2025-09-29,Known as 'Maskew Avenue Retail Park' – contains national retailers in bulky goods and value categories.,DFS,Furniture,Sofas & Living Room,Unit 6,,False,HOME_FURNISHINGS,https://www.dfs.co.uk/store/peterborough
Maskew Avenue Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2AS,,,52.5906,-0.2477,2025-09-29,Known as 'Maskew Avenue Retail Park' – contains national retailers in bulky goods and value categories.,ScS,Furniture,Sofas & Carpets,Unit 7,,False,HOME_FURNISHINGS,https://www.scs.co.uk/store-finder/peterborough
Maskew Avenue Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2AS,,,52.5906,-0.2477,2025-09-29,Known as 'Maskew Avenue Retail Park' – contains national retailers in bulky goods and value categories.,Wren Kitchens,Home Improvement,Kitchens,Unit 8,,False,HOME_FURNISHINGS,https://www.wrenkitchens.com/showrooms/peterborough
Maskew Avenue Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2AS,,,52.5906,-0.2477,2025-09-29,Known as 'Maskew Avenue Retail Park' – contains national retailers in bulky goods and value categories.,Oak Furnitureland,Furniture,Solid Wood Furniture,Unit 9,,False,HOME_FURNISHINGS,https://www.oakfurnitureland.com/stores/peterborough
Maskew Avenue Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2AS,,,52.5906,-0.2477,2025-09-29,Known as 'Maskew Avenue Retail Park' – contains national retailers in bulky goods and value categories.,Matalan,Fashion & Home,Value Fashion/Homewares,Unit 10,,False,APPAREL_VALUE,https://www.matalan.co.uk/stores/peterborough
